文本行,单复数结果,特指泛指结果,名词短语是否判断正确?,单复数是否判断正确?,特指泛指是否判断正确?
* 实物 证据 * 这么 少 这 点 也 很 奇怪,单数,泛指,T,T,F
不是 有 * 枪击 残留物 * 嘛,单数,特指,T,T,T
是 但 * 法医 鉴定 * 呢,单数,特指,T,T,T
* DNA 检测 呢 *,单数,特指,T,T,T
怎么 * 你们 俩 改 主意 了 * ?,复数,特指,F,T,T
怎么 你们 俩 改 * 主意 * 了 ?,复数,特指,T,T,T
但 阵营 变了 这 也 算 * 进展 *,单数,泛指,T,T,T
* 校警 * 我们 进来 了,复数,泛指,T,T,T
有 * 发现 * 吗,单数,泛指,T,F,T
乔什3P 之后 下楼 拿 * 啤酒 *,单数,泛指,T,T,T
穿 的 是 * 衬衫 *,复数,特指,T,T,T
比安 卡 在 * 卫生间 * 里 听到 枪声,单数,特指,T,T,T
比安 卡 在 卫生间 里 听到 * 枪声 *,单数,特指,T,T,T
* 所有 人 * 急忙 跑 上去 几 秒 后 神奇 般 地 乔什 穿上 了 皮夹克,单数,泛指,T,F,T
或者 他 用 夹克 包 着手 挡住 * 枪击 残留物 *,单数,特指,T,T,T
你 开始 写 * 小说 * 了 ?,单数,泛指,T,T,T
要 弄清 真相 * 只有 一 个 办法 *,单数,特指,T,T,T
对 * 夹克 * 进行 检测,单数,泛指,T,T,T
哪 所 * 监狱 *,单数,泛指,T,T,T
* 杜 怀特 惩教 中心 *,单数,泛指,T,T,F
这 件 * 案子 * 我们 胜算 很大,单数,泛指,F,T,F
只是 * 学校 的 朋友 * 他们 不 来 探访,复数,特指,T,T,T
换 * 我 室友 * 坐牢 我 估计 我 也 不 会 去 探访,单数,特指,T,T,T
* 45年 *,复数,特指,T,T,F
那 是 * 最 坏 情况 *,单数,泛指,T,T,T
所谓 * 沉默 克己 *,单数,特指,F,T,F
谁 知道 我 爱 * 牛仔 * 呢,复数,泛指,T,T,T
也许 这 是 * 我们 骨子 * 里 的 东西,单数,特指,F,F,T
* 美国人 * 就是 爱 牛仔,单数,泛指,T,T,T
* 牛仔 的 沉默 * 其实 挺 自私 的,单数,特指,T,T,T
把 谈话 的 压力 全 压在 * 别人 头上 * 了,单数,泛指,T,T,T
把 * 谈话 * 的 压力 全 压在 别人 头上 了,单数,特指,T,T,T
你 正在 与 我 共进 * 晚餐 *,单数,泛指,T,T,T
我 认为 她 是 * 恶魔 的 化身 *,单数,特指,T,T,T
你 怎么 能 支持 非法 * 堕胎 * 呢,复数,泛指,F,T,T
* 谋杀案 * 的 ...,单数,特指,T,T,T
我 想 留下 但 * 脑海 中 三 代 民主 先驱 * 在 呐喊 抗议,复数,特指,T,T,T
有 这么 多 * 代呀 *,复数,泛指,F,T,T
他们 在 * 乔什 的 夹克 * 上 发现 了 枪击 残留物,单数,特指,T,T,T
他们 在 乔什 的 夹克 上 发现 了 * 枪击 残留物 *,单数,泛指,T,T,T
* 他的 * . . . 你 在 哪儿,复数,特指,T,T,T
* 警局 *,单数,泛指,T,T,T
听 好了 在 那 上面 还 有 * 其它 的 发现 *,单数,泛指,T,F,T
* 海瑟 的 血 *,单数,泛指,T,T,F
好吧 我 得去 申请 个 * 诉讼 延期 *,单数,泛指,T,T,T
一 有 什么 情况 就 给 我 打 * 电话 *,单数,泛指,T,T,T
一 有 * 什么 情况 * 就 给 我 打 电话,单数,泛指,T,T,T
没 起 * 作用 *,单数,泛指,T,T,T
我俩 目前 * 处境 * 尴尬,单数,泛指,T,T,T
当 我 在 * 白天 * 看 着 你 时 我 想 知道 你是 怎么 想 的,单数,特指,T,T,T
在 * 乔治城 大学 * 若是 我们 在一起 而 不 是 和 彼得 最 多 也 就 在一起 一 周 吧,单数,特指,T,T,T
* 9 毫米 自动 6 发 手枪 *,单数,特指,T,T,T
* 极轻微 的 扣动 都会 * 走火,单数,特指,F,T,T
你 说 这 是 * 意外 * 走火 ?,单数,泛指,F,T,T
* 控方 * 是 正确 的,单数,特指,T,T,T
* 枪击 * 的确 来自 3  之外,单数,特指,T,T,T
枪击 的确 来自 * 3  * 之外,复数,特指,T,T,T
枪 就 在 * 你们 当事人 柜子 的 抽屉 * 里,单数,特指,T,T,T
* 枪 * 就 在 你们 当事人 柜子 的 抽屉 里,单数,特指,T,T,T
海瑟 是 * 盗贼 * 当 比 安 卡 在 卫生间 的 时候 海瑟 在 抽屉 里 找 贵重 物品 和 钱财,单数,泛指,T,T,T
海瑟 是 盗贼 当 比 安 卡 在 * 卫生间 * 的 时候 海瑟 在 抽屉 里 找 贵重 物品 和 钱财,单数,特指,T,T,T
海瑟 是 盗贼 当 比 安 卡 在 卫生间 的 时候 海瑟 在 * 抽屉 * 里 找 贵重 物品 和 钱财,单数,特指,T,T,T
海瑟 是 盗贼 当 比 安 卡 在 卫生间 的 时候 海瑟 在 抽屉 里 找 * 贵重 物品 * 和 钱财,复数,泛指,T,T,F
她 翻找 * 那个 放枪 的 抽屉 *,单数,特指,T,T,T
* 枪击 * 是 在 3  之外 不过 是 垂直 射击 并非 水平,单数,特指,T,T,T
枪击 是 在 * 3  * 之外 不过 是 垂直 射击 并非 水平,复数,特指,T,T,T
这里 没有 * 信号 *,单数,泛指,T,T,T
真相 的 * 优势 * 就 在于 它 是 真的 某 种 程度 上 来讲 真相 永远 更加 可信,单数,特指,F,T,T
真相 的 优势 就 在于 它 是 真的 * 某 种 程度 * 上 来讲 真相 永远 更加 可信,单数,泛指,T,T,T
真相 的 优势 就 在于 它 是 真的 某 种 程度 上 来讲 * 真相 * 永远 更加 可信,单数,特指,T,T,T
你 坚信 * 枪击 * 是 自己 造成 的 ?,单数,特指,T,T,T
* 科学 事实 * 摆在 那里,复数,特指,T,T,T
* 枪 * 是 自己 偶然 引发 的,单数,特指,T,T,T
谢谢 * 麦克维 先生 *,单数,特指,T,T,T
如 您 所说 * 麦克维 先生 * 起初 你 并不 愿意 上 庭 作证,单数,特指,T,T,T
如果 你 所 说 的 顿悟 是 指 * 新 证据 *,单数,泛指,T,T,F
如果 你 所 说 的 * 顿悟 * 是 指 新 证据,单数,泛指,T,T,T
以及 * 带血 的 夹克 和 枪击 残留物 *,复数,特指,T,T,T
改变 * 主意 * 了 ?,单数,泛指,T,T,T
你 目前 住在 * 维斯汀 酒店 *,单数,特指,T,T,T
替 * 另外 一 个 案子 * 作证,单数,泛指,T,T,T
* 几 名 检察官 * 看到 你,复数,泛指,T,T,T
和 * 一 名 律师 * 在 那里 见面,单数,泛指,T,T,T
这 算 * 个 问题 * 吗,单数,泛指,T,T,T
* 我的 问题 * 是,单数,特指,T,T,T
在 你 神奇 地 改变 主意 前 * 前天 晚上 *,复数,特指,T,F,T
在 你 神奇 地 改变 * 主意 * 前 前天 晚上,单数,特指,T,T,T
你 和 洛克 哈特 & amp ; 加德纳 律所 的 一 位 * 合伙人 *,单数,泛指,T,T,T
加德纳 先生 * 问题 * 已 被 回答,单数,特指,T,T,T
* 加德纳 先生 * 问题 已 被 回答,单数,特指,T,T,T
* 法官 大人 * 抱歉 不过 回答 得 过于 迅速,单数,特指,T,T,T
晚餐 后 这 位 合伙人 戴安・洛克 哈特 去 了 * 你 在 宾馆 的 房间 * ?,单数,特指,T,T,T
* 晚餐 * 后 这 位 合伙人 戴安・洛克 哈特 去 了 你 在 宾馆 的 房间 ?,单数,特指,T,T,T
晚餐 后 这 位 * 合伙人 * 戴安・洛克 哈特 去 了 你 在 宾馆 的 房间 ?,单数,特指,F,T,T
晚餐 后 这 位 合伙人 * 戴安・洛克 哈特 * 去 了 你 在 宾馆 的 房间 ?,单数,泛指,T,T,F
你们 发生 * 性关系 * 了 吗,复数,泛指,T,T,T
反对 * 法官 大人 * 这 与 本案 有 什么 关联,单数,特指,T,T,T
我 估计 * 布罗迪 先生 * 是 要说,单数,特指,T,T,T
他 所 声称 的 性关系 才 使 * 证人 * 给出 这些 证词 对 吗 布罗迪 先生,单数,特指,T,T,T
他 所 声称 的 性关系 才 使 证人 给出 这些 证词 对 吗 * 布罗迪 先生 *,单数,特指,T,T,T
是的 * 法官 大人 *,单数,特指,T,T,T
布罗迪 先生 我 宣布 * 加德纳 先生 的 反对 * 有效 但 我 觉得 你 不 会 在意,复数,特指,T,T,T
* 布罗迪 先生 * 我 宣布 加德纳 先生 的 反对 有效 但 我 觉得 你 不 会 在意,单数,特指,T,T,T
因为 你 刚 给 陪审团 扔了 * 一 枚 臭气 * 弹 你 可以 去找 掩体 了,单数,泛指,F,T,T
因为 你 刚 给 * 陪审团 * 扔了 一 枚 臭气 弹 你 可以 去找 掩体 了,单数,特指,T,T,T
* 法官 大人 * 这样 一 个 例子 . . .,单数,特指,T,T,T
* 法官 大人 这样 一 个 例子 * . . .,单数,泛指,F,T,F
加德纳 先生 你 面带 * 愠色 * 如果 你 当初 没 对 伯顿 警探 的 证词 如法 炮制,单数,特指,T,T,T
不好意思 * 法官 大人 * 恕我 直言,单数,特指,T,T,T
* 法官 大人 *,单数,特指,T,T,T
* 这 方面 * 算 你们 打平 了,单数,特指,T,T,T
都是 推断 而非 * 事实 * 所以 咱 还是 等待 公正 的 结果 吧,复数,泛指,T,T,T
都是 推断 而非 事实 所以 咱 还是 等待 * 公正 的 结果 * 吧,单数,泛指,T,T,T
有 * 问题 * 吗 布罗迪 先生,复数,泛指,T,T,T
有 问题 吗 * 布罗迪 先生 *,单数,特指,T,T,T
没有 法官 大人 但 我方 请求 对 陪审团 做出 * 指引 *,复数,泛指,T,T,T
只 需要 * 1 个 陪审员 * 支持 你 就 行,单数,特指,T,T,F
没错 但 如果 你 判断 错了 你 回去 上班 了 我 只 能 看着 * 我 女儿 * ...,单数,特指,T,T,T
* 妈 * . . .,单数,泛指,T,T,F
他们 是 * 辩方 *,单数,特指,T,T,T
但 * 他们 的 2 个 弹道 专家 * 一 个 这么 说 一 个 那么说,复数,特指,T,T,T
他们 是 * 辩方 *,单数,特指,T,T,T
他们 要 做 的 就 是 找 * 控方 * 陈述 的 漏洞,单数,特指,F,T,T
他们 要 做 的 就 是 找 控方 陈述 的 * 漏洞 *,复数,泛指,T,T,T
对 但 * 那个 弹道 专家 * 说,单数,特指,T,T,T
嗨 * 医生 * 你 似乎 累 坏了,单数,泛指,T,T,F
听着 * 大家 的 争论 * 我 只是 觉得 我们 得到 的 信息 不足,单数,泛指,T,T,T
听着 大家 的 争论 我 只是 觉得 我们 得到 的 * 信息 * 不足,单数,泛指,T,T,T
你们 觉得 有 * 合理 怀疑 * 吗,单数,泛指,T,T,T
* 合理 的 不知情 *,单数,泛指,T,F,F
凯琳达 有 * 麻烦 * 了,单数,泛指,T,T,T
* 法警 * 说 陪审团 裁决 要 出来了,单数,特指,T,T,T
比 * 安卡 和 她 母亲 * 要 和 我们 谈谈,复数,特指,F,T,T
* 民主 实践 *,单数,泛指,T,T,T
* 一 天 15 块钱嘿 *,单数,特指,F,F,F
* 很多 陪审员 * 都 会 互 留 电话 保持 联系,单数,泛指,T,F,T
很多 陪审员 都 会 互 留 电话 保持 * 联系 *,单数,泛指,T,T,T
咱省省 时间 别 留 * 号码 * 了,复数,泛指,T,T,T
咱省省 * 时间 * 别 留 号码 了,单数,泛指,T,T,T
你 好 * 法官 *,单数,泛指,T,T,F
就 在 刚才 控辩 双方 达成 了 * 一 项 辩诉 交易 *,单数,泛指,T,T,T
因为 * 某 一 方对 结果 * 过于 担心,复数,特指,F,T,T
我 希望 这不 会 影响 你们 对 * 法庭 * 的 热情,单数,特指,T,T,T
我 希望 这不 会 影响 * 你们 对 法庭 的 热情 *,单数,特指,T,F,T
因为 1 年 以后 你们 又 会 得到 * 法庭 召唤 *,复数,泛指,T,T,T
* 辩诉 交易 * 是 什么 内容,单数,特指,T,T,T
* 10 年 监禁 *,复数,特指,T,T,T
勒奈特 奋力 拯救 * 婚姻 *,单数,特指,T,T,T
我 能 从 * 他 眼里 * 看 出来 他 还 爱 着 我,复数,特指,T,T,T
也许 去做 * 咨询 *,单数,泛指,T,T,T
一 周 之内 * 一 个 顾问 * 做 的 好事,单数,泛指,T,T,T
比我 这 * 辈子 * 做 的 还要 多,单数,特指,T,T,T
* 喜讯 ... *,单数,泛指,F,T,T
与 * 噩耗 * 一并 而来,单数,泛指,T,T,T
在 求婚 期间 几 个 * 警察 * 上门 来 调查 他们 在 施工 现场,复数,特指,F,T,T
发现 的 * 尸体 *,单数,特指,T,T,T
我 告诉 他们 我 毫不 知情 * 警方 * 好像 没 太 当 回事,单数,特指,T,T,T
可 布 里 却 遇到 了 * 麻烦 *,单数,泛指,T,T,T
我们 只是 话家常 顺便 等等 * 她 的 律师 *,单数,特指,T,T,T
* 话 家常 时间 * 结束,单数,泛指,T,T,T
她 请到 了 * 完美 律师 *,单数,特指,T,T,T
勒奈特・斯加沃 处理 自己 的 * 婚姻 * 时 她 决心 稳步 发展,单数,特指,T,T,T
所以 汤姆 没能 及时 来接 * 孩子们 * 时 她 耐心 等待,复数,特指,T,T,T
收到 他 的 * 邮件 * 时 她 代为 保管,单数,特指,T,T,T
他 落下 重要 * 东西 * 时 她 专程 送去,单数,泛指,T,T,T
* 没错 多 年 的 抗争 * 毫 无 结果 勒奈特 最终 决定 采取 主动,复数,泛指,F,T,T
我 想 我 能 让 首席 * 执行官 * 亲自 带 你 转 一 圈,单数,特指,F,T,T
我 把 * 汤姆 落在 家里 的 东西 * 扔下 就走,单数,特指,T,T,T
我 把 汤姆 落在 家里 的 * 东西 * 扔下 就走,单数,泛指,F,T,F
除非 是 炸弹 不然 * 我 前妻 * 才 不 会 给 我 送,单数,特指,T,T,T
那 你 现在 和 * 别人 * 交往 吗,单数,泛指,T,T,T
你 还 真是 ... * 爱管 闲事 *,复数,泛指,T,T,T
* 梦寐以求 的 那 种 女人 *,复数,泛指,T,T,T
我 周五 休息 所以 我们 可以 早点 去 * 小屋 *,单数,特指,T,T,T
我 * 周五 * 休息 所以 我们 可以 早点 去 小屋,单数,特指,T,T,T
* 坏 消息 * 我 查 了 天气 预报,单数,泛指,T,T,F
好像 * 这 周末 * 会 下雨,单数,特指,T,T,T
是的 我们 一直 在 忙 * 工作 什么 * 的,单数,泛指,F,T,T
* 床单 *,单数,泛指,T,T,T
这 * 周末 * 会 很 不错,单数,泛指,T,F,F
在 * 她 支离 破碎 的 婚姻 * 里 采取 主动,单数,特指,T,T,T
* 卡洛斯 ・ 索利斯 * 过去 总是 占据 主导 位置 不论是 在 豪车 的 驾驶座,复数,泛指,T,F,F
卡洛斯 ・ 索利斯 过去 总是 占据 * 主导 位置 * 不论是 在 豪车 的 驾驶座,单数,泛指,T,T,T
卡洛斯 ・ 索利斯 过去 总是 占据 主导 位置 不论是 在 豪车 的 * 驾驶座 *,单数,特指,F,T,F
* 巨头 云集 的 午餐 * 的 主人 座,单数,泛指,T,T,T
说 真的 宝贝 我们 店里 有 * 个人 *,单数,泛指,T,T,T
我 今天 必须 * 早上 班 *,单数,泛指,T,T,T
我 这 份 * 工作 * 很 有 意义 你 该 引以为豪,单数,泛指,T,T,F
如果 ` ` 有 意义 ' ' 能 让 我们 还清 * 贷款 *,单数,特指,T,T,T
* 宝贝 学校 * 怎么样,单数,泛指,F,T,T
* 你 不 喜欢 我 给 你 做 的 火鸡 三明治 吗 *,复数,特指,F,T,T
换 * 一 本 虫 虫 * 书 但是 他 反悔 了 因为 你 放 太 多 蛋黄 酱 了,单数,泛指,F,T,T
换 一 本 虫 虫 书 但是 他 反悔 了 因为 你 放 * 太 多 蛋黄 酱 * 了,单数,泛指,T,F,T
这 是 * 父子 活动 *,复数,泛指,T,T,T
是 啊 可是 * 妈妈 * 也 可以 参加 啊,复数,泛指,T,F,F
再说 就 * 三 天 时间 * 了,复数,特指,T,T,T
我们 需要 铁腕 政策 来 制止 * 这些 杀人犯 *,复数,特指,T,T,T
你 有 没 有 意识 到 你 的 * 案子 *,单数,泛指,T,T,F
开个 * 玩笑 * 我 就是 想 缓和 下气氛,单数,泛指,T,T,T
天花板 上吊 * 个 套索 * 就 可以 准备 玩 杂耍 了,单数,泛指,T,T,T
